Concurso;Data;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Ganhadores;Prêmio
517;20/02/1999;3;14;22;46;60;2;169201,11
518;23/02/1999;6;22;28;45;71;1;249723,84
519;25/02/1999;3;36;40;52;76;3;85337,89
520;27/02/1999;4;12;28;30;43;8;42549,92
521;02/03/1999;26;52;72;74;79;1;254077,11
522;04/03/1999;1;2;3;27;65;5;53958,57
523;06/03/1999;9;52;59;62;80;2;180162,13
524;09/03/1999;3;5;16;32;38;2;131510,22
525;11/03/1999;16;38;58;64;72;3;91754,37
526;13/03/1999;7;8;36;57;67;2;176217,96
527;16/03/1999;2;25;44;45;65;3;87067,41
528;18/03/1999;1;9;50;61;79;2;131584,97
529;20/03/1999;7;10;26;35;36;4;84926,12
530;23/03/1999;7;24;26;28;72;2;123012,73
531;25/03/1999;11;35;56;63;77;3;84178,34
532;27/03/1999;22;25;30;57;63;2;163614,02
533;30/03/1999;5;13;39;47;63;7;33878,25
534;03/04/1999;7;43;53;59;72;3;109685,51
535;06/04/1999;3;23;51;73;74;0;
536;08/04/1999;3;9;48;59;79;0;
537;10/04/1999;4;22;49;53;64;8;128695,84
538;13/04/1999;25;29;34;59;66;1;260163,40
539;15/04/1999;19;42;63;75;78;3;89885,93
540;17/04/1999;4;8;15;20;32;6;59014,39
541;20/04/1999;6;13;18;21;80;3;85845,08
